Nation,U21_Player_Count
fr FRA,133
es ESP,115
eng ENG,70
it ITA,57
de GER,49
ar ARG,21
pt POR,15
br BRA,14
be BEL,14
ci CIV,14
ma MAR,13
dk DEN,11
se SWE,10
sn SEN,8
rs SRB,7
ng NGA,7
nl NED,7
us USA,7
cm CMR,7
ie IRL,6
co COL,6
ml MLI,6
hr CRO,5
tr TUR,4
no NOR,4
ch SUI,4
jp JPN,4
at AUT,3
ua UKR,3
py PAR,3
gn GUI,3
ro ROU,3
pl POL,3
gh GHA,3
nir NIR,2
kr KOR,2
is ISL,2
hu HUN,2
si SVN,2
sk SVK,2
gm GAM,2
dz ALG,2
cz CZE,2
tn TUN,2
uy URU,2
uz UZB,2
wls WAL,2
sl SLE,2
ru RUS,1
pr PUR,1
nz NZL,1
al ALB,1
ms MSR,1
ge GEO,1
au AUS,1
ba BIH,1
bf BFA,1
ca CAN,1
cd COD,1
cg CGO,1
cl CHI,1
ga GAB,1
gp GLP,1
mq MTQ,1
gr GRE,1
il ISR,1
iq IRQ,1
am ARM,1
lt LTU,1
lu LUX,1
md MDA,1
me MNE,1
zm ZAM,1
